date,背身,挡拆持球,面框单打,转换进攻,绕掩护,手递手,定点突投,挡拆接球,空切,二次进攻,其他
2006,21.6,0.0,2.3,7.9,0.0,0.0,17.6,14.8,12.6,16.9,6.300000000000011
2007,42.7,0.0,1.9,5.4,0.0,0.0,12.4,16.9,6.9,8.1,5.700000000000003
2008,37.5,0.0,7.4,6.7,0.7,0.0,16.4,13.0,7.1,8.2,3.0
2009,44.7,0.0,3.5,6.3,1.1,0.0,12.9,12.6,7.6,6.8,4.500000000000014
2010,42.8,0.0,4.4,5.0,0.6,0.0,8.2,12.8,11.9,9.9,4.3999999999999915
2011,41.3,0.0,5.7,5.5,0.0,0.0,8.4,18.4,8.2,7.3,5.200000000000003
2012,33.7,0.0,7.4,3.4,3.0,0.0,15.3,18.5,7.4,7.2,4.099999999999994
2013,39.6,0.0,4.8,5.2,1.8,0.0,14.4,18.4,4.8,6.6,4.40000000000002
2014,36.5,0.0,6.9,4.6,1.6,0.0,18.6,15.5,4.0,7.9,4.3999999999999915
2015,33.7,0.0,1.2,4.8,2.7,0.0,15.6,20.2,9.0,9.8,3.0
2016,32.7,0.0,3.4,3.9,3.4,0.0,16.2,19.1,6.5,9.4,5.400000000000006
